run_id,request_msg_id,uav_id,ugv_id,role,outcome,failure_reason,request_time,decision_time,dock_start_time,charge_end_time,terminal_time,decision_latency_ms,waiting_time_ms,charge_duration_ms,effective_wait_ms,charge_completed,request_battery,start_battery,end_battery,energy_recovered,preempted_flag,preempt_count,decision_policy,decision_priority,decision_tte_sec,decision_score,decision_rank_index,decision_queue_size,decision_ctrl_pdr,decision_ctrl_delay_mean_ms,decision_ctrl_delay_p95_ms,decision_ctrl_drop_reasons
ugv_fcfs,uav3_charge_req_7950,uav3,ugv_1,0,ROUTING_DROP,WEATHER_DROP,1.77182e+09,1.77182e+09,0,-1,1.77182e+09,57944.1,-1,-1,9031.59,false,34.2309,-1,-1,-1,false,0,fcfs,0,34.214,82.9367,0,1,0.95082,527.282,2797.12,WEATHER_DROP:10
ugv_fcfs,uav2_charge_req_8761,uav2,ugv_1,0,STARTED,,1.77182e+09,1.77182e+09,1.77182e+09,1.77182e+09,1.77182e+09,2714.74,3001.85,244000,3001.85,true,31.949,30.9627,100,69.0373,false,0,fcfs,0,63.898,68.0697,0,1,0.951613,561.136,2723.45,WEATHER_DROP:10
ugv_fcfs,uav1_charge_req_7055,uav1,ugv_1,0,ROUTING_DROP,WEATHER_DROP,1.77182e+09,0,0,-1,1.77182e+09,-1,-1,-1,23500.3,false,41.7615,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_fcfs,uav1_charge_req_8495,uav1,ugv_1,0,ROUTING_DROP,WEATHER_DROP,1.77182e+09,0,0,-1,1.77182e+09,-1,-1,-1,14004.5,false,39.9785,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_fcfs,uav3_charge_req_8537,uav3,ugv_1,0,ROUTING_DROP,WEATHER_DROP,1.77182e+09,1.77182e+09,0,-1,1.77182e+09,87959.5,-1,-1,19484,false,33.9305,-1,-1,-1,false,0,fcfs,0,15.5444,92.2761,0,1,0.953846,534.13,2523.17,WEATHER_DROP:12
ugv_fcfs,uav1_charge_req_8949,uav1,ugv_1,0,STARTED,,1.77182e+09,1.77182e+09,1.77182e+09,1.77182e+09,1.77182e+09,8744.2,9000.8,217906,9000.8,true,41.757,38.9293,100,61.0707,false,0,fcfs,0,79.7064,60.1695,0,1,0.955224,548.975,2520.15,WEATHER_DROP:12
ugv_fcfs,ch0_charge_req_9401,ch0,ugv_1,1,TIMEOUT,NO_DECISION,1.77182e+09,0,0,-1,1.77182e+09,-1,-1,-1,30924.8,false,30.4796,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_fcfs,uav1_charge_req_2995,uav1,ugv_1,0,TIMEOUT,NO_DECISION,1.77181e+09,0,0,-1,1.77181e+09,-1,-1,-1,30798.4,false,40.3093,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_fcfs,ch0_charge_req_9415,ch0,ugv_1,1,STARTED,,1.77182e+09,1.77182e+09,1.77182e+09,1.77182e+09,1.77182e+09,2973.3,3479.73,306009,3479.73,true,30.4796,26.5374,100,73.4626,false,0,fcfs,1,107.311,78.2211,0,1,0.955882,540.558,2518.63,WEATHER_DROP:13
ugv_fcfs,uav3_charge_req_9890,uav3,ugv_1,0,ROUTING_DROP,WEATHER_DROP,1.77182e+09,1.77182e+09,0,-1,1.77182e+09,21946,-1,-1,4517.84,false,34.2194,-1,-1,-1,false,0,fcfs,0,55.5261,72.2808,0,1,0.960526,515.58,2506.53,WEATHER_DROP:14
