run_id,time,window_sec,window_generated,window_delivered,window_dropped,window_pdr,window_delay_mean_ms,window_delay_p95_ms,window_jitter_ms,ctrl_charge_req_generated,ctrl_charge_req_delivered,ctrl_charge_req_pdr,ctrl_charge_dec_generated,ctrl_charge_dec_delivered,ctrl_charge_dec_pdr
ugv_fcfs,1.77181e+09,10,40,32,1,0.8,227.291,367.628,467.467,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,33,9,0.785714,220.889,329.164,453.373,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,33,9,0.785714,220.889,329.164,453.373,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,43,36,7,0.837209,203.061,211.972,415.17,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,38,32,5,0.842105,3.1006,13.3728,4.52079,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,40,34,5,0.85,3.19524,12.9752,4.48374,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,41,35,5,0.853659,3.39101,12.7765,4.04928,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,45,42,2,0.933333,287.385,3782.87,100.522,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,46,43,2,0.934783,280.529,3584.64,192.521,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,48,45,2,0.9375,269.047,3191.59,185.256,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,47,44,2,0.93617,275.185,3388.97,189.591,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,47,43,2,0.914894,300.719,3665.57,213.814,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,45,41,4,0.911111,314.949,3981.09,244.381,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,45,41,4,0.911111,314.949,3981.09,244.381,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,41,35,4,0.853659,27.0592,18.037,52.9226,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,40,35,3,0.875,27.0797,18.037,53.0251,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,39,34,3,0.871795,27.7082,19.1498,54.3605,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,38,33,3,0.868421,28.1335,17.7374,55.8654,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,41,32,3,0.780488,28.8901,19.0606,57.5722,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,30,3,0.714286,30.5934,21.707,61.3375,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,41,29,3,0.707317,30.4183,6.97192,61.6545,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,39,30,2,0.769231,2.42284,6.9641,2.88438,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,41,31,2,0.756098,2.52593,7.19058,3.116,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,33,9,0.785714,2.61902,7.12808,3.33356,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,33,9,0.785714,2.61902,7.12808,3.33356,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,36,6,0.857143,2.63733,7.03433,3.13724,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,43,36,6,0.837209,2.69701,7.03433,3.17749,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,44,36,6,0.818182,2.61347,7.03433,3.01797,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,43,35,6,0.813953,2.55193,7.06558,2.96458,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,44,33,5,0.75,2.58702,7.12808,2.99888,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,33,2,0.785714,2.57219,7.12808,2.92031,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,41,31,2,0.756098,2.37061,7.12884,2.81278,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,40,30,2,0.75,1.91898,6.43565,2.40278,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,39,29,1,0.74359,1.56088,5.32847,1.87263,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,38,28,10,0.736842,1.30446,4.05845,1.5334,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,38,28,10,0.736842,1.30446,4.05845,1.5334,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,37,26,10,0.702703,1.16427,3.69508,1.42565,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,39,25,9,0.641026,1.03108,3.6957,1.49737,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,38,24,8,0.631579,1.1811,3.86576,1.92893,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,36,24,5,0.666667,1.26824,3.86576,2.13891,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,39,26,4,0.666667,1.31563,3.84605,2.0226,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,40,27,3,0.675,1.34051,4.66885,1.98268,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,41,29,2,0.707317,1.44477,4.7029,2.01998,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,41,29,2,0.707317,1.43642,4.7029,2.01116,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,45,31,1,0.688889,1.58937,4.62854,2.14728,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,47,31,16,0.659574,1.63564,4.62854,2.17293,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,47,31,16,0.659574,1.63564,4.62854,2.17293,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,48,30,15,0.625,1.8106,5.19115,2.35616,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,46,32,11,0.695652,1.94956,5.5065,2.24407,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,47,34,10,0.723404,2.25388,6.62086,2.60535,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,47,33,9,0.702128,2.23401,6.67104,2.79279,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,46,32,8,0.695652,2.39457,7.03288,3.13108,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,45,30,7,0.666667,2.62049,8.62007,3.69852,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,45,28,7,0.622222,2.56676,8.86496,3.79619,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,44,28,6,0.636364,2.81192,9.57594,4.29259,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,40,26,3,0.65,2.80111,9.6177,4.47047,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,38,27,11,0.710526,2.83812,9.59682,4.40094,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,38,27,11,0.710526,2.83812,9.59682,4.40094,0,0,-1,0,0,-1
