run_id,time,window_sec,window_generated,window_delivered,window_dropped,window_pdr,window_delay_mean_ms,window_delay_p95_ms,window_jitter_ms,ctrl_charge_req_generated,ctrl_charge_req_delivered,ctrl_charge_req_pdr,ctrl_charge_dec_generated,ctrl_charge_dec_delivered,ctrl_charge_dec_pdr
ugv_role_priority,1.77177e+09,10,3,3,0,1,28.1738,67.7419,42.2467,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,25,20,0,0.8,310.776,1992.93,559.722,1,1,1,0,0,-1
ugv_role_priority,1.77177e+09,10,5,5,0,1,33.4724,73.4121,36.5932,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,25,20,0,0.8,311.387,1992.93,562.978,1,1,1,0,0,-1
ugv_role_priority,1.77177e+09,10,25,22,0,0.88,64.9018,192.93,46.7856,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,28,22,0,0.785714,207.077,995.49,419.013,1,1,1,0,0,-1
ugv_role_priority,1.77177e+09,10,32,27,0,0.84375,64.3764,212.252,46.7148,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,31,24,12,0.774194,125.243,211.788,230.93,1,1,1,0,0,-1
ugv_role_priority,1.77177e+09,10,30,23,12,0.766667,130.687,214.498,241.426,1,1,1,0,0,-1
ugv_role_priority,1.77177e+09,10,51,40,0,0.784314,71.0104,221.429,53.1866,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,40,34,10,0.85,47.1804,184.683,55.0557,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,59,54,0,0.915254,104.62,322.901,101.596,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,43,39,10,0.906977,75.6926,263.102,111.652,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,65,60,0,0.923077,106.671,298.292,99.3368,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,46,42,10,0.913043,81.6303,257.662,111.988,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,72,65,0,0.902778,101.169,289.933,95.2298,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,51,48,9,0.941176,92.063,282.101,117.654,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,92,85,0,0.923913,121.525,479.36,105.915,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,63,60,9,0.952381,134.676,581.043,131.658,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,103,97,61,0.941748,145.07,600.513,119.031,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,103,97,61,0.941748,145.07,600.513,119.031,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,68,66,8,0.970588,148.365,607.527,147.875,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,103,98,62,0.951456,146.192,599.484,119.897,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,103,98,62,0.951456,146.192,599.484,119.897,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,69,66,7,0.956522,148.236,607.527,150.716,1,0,0,0,0,-1
ugv_role_priority,1.77177e+09,10,70,67,6,0.957143,145.849,605.636,149.249,1,0,0,0,0,-1
ugv_role_priority,1.77177e+09,10,67,64,4,0.955224,147.956,611.311,151.138,1,0,0,0,0,-1
ugv_role_priority,1.77177e+09,10,71,65,39,0.915493,210.215,820.12,282.336,1,1,1,0,0,-1
ugv_role_priority,1.77177e+09,10,71,65,39,0.915493,210.215,820.12,282.336,1,1,1,0,0,-1
ugv_role_priority,1.77177e+09,10,57,54,27,0.947368,214.569,705.857,281.491,1,1,1,0,0,-1
ugv_role_priority,1.77177e+09,10,55,52,25,0.945455,220.197,731.249,290.042,1,1,1,0,0,-1
ugv_role_priority,1.77177e+09,10,50,49,20,0.98,223.949,769.336,299.474,1,1,1,0,0,-1
ugv_role_priority,1.77177e+09,10,41,39,12,0.95122,228.588,891.038,325.891,1,1,1,0,0,-1
ugv_role_priority,1.77177e+09,10,31,29,4,0.935484,25.424,158.35,35.842,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,29,26,1,0.896552,4.47065,13.6483,7.38029,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,31,28,1,0.903226,2.13134,6.16542,2.54671,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,34,30,1,0.882353,2.46481,6.16536,2.61398,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,38,34,0,0.894737,2.3529,6.16525,2.5627,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,40,33,7,0.825,2.52619,6.71207,2.97081,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,40,33,7,0.825,2.52619,6.71207,2.97081,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,44,37,7,0.840909,2.37081,6.43884,2.62458,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,48,38,7,0.791667,2.38781,6.37053,2.71687,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,52,41,7,0.788462,2.44991,7.53175,2.9133,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,55,45,6,0.818182,2.92284,10.3843,3.33412,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,59,48,6,0.813559,3.28807,13.6772,3.91202,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,61,51,5,0.836066,2.89889,11.5062,3.52281,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,63,52,5,0.825397,2.80168,11.4239,3.3621,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,53,4,0.828125,2.59389,11.3416,3.25202,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,54,3,0.84375,2.60249,11.2594,3.15394,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,57,7,0.890625,2.68162,12.8907,3.30516,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,57,7,0.890625,2.68162,12.8907,3.30516,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,57,7,0.890625,2.75648,12.8907,3.34995,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,60,4,0.9375,2.93958,12.4693,3.44507,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,61,3,0.953125,3.05963,14.7361,3.42294,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,61,3,0.953125,2.83749,12.3288,3.25941,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,62,2,0.96875,2.69462,10.9587,2.99188,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,62,2,0.96875,2.52788,10.4877,2.66816,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,63,1,0.984375,3.37536,14.3603,3.58897,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,64,0,1,3.38485,14.1724,3.50034,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,64,0,1,3.97878,15.2046,4.12065,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,64,0,1,3.9496,15.1443,4.0408,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,64,0,1,3.9496,15.1443,4.0408,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,64,0,1,3.8481,15.1443,3.86859,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,64,0,1,4.09717,19.4811,4.08375,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,64,0,1,4.05141,19.4811,4.01057,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,64,0,1,3.95383,19.4811,3.89509,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,64,0,1,3.83646,19.4811,3.76835,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,63,0,0.984375,4.32735,19.5322,3.80376,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,62,0,0.96875,3.68973,15.2054,3.4896,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,62,0,0.96875,3.59814,15.2054,3.06153,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,62,0,0.96875,2.88195,14.7212,2.48728,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,61,3,0.953125,2.93622,14.981,2.65516,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,61,3,0.953125,2.93622,14.981,2.65516,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,61,3,0.953125,2.89199,14.981,2.40401,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,60,3,0.9375,2.35356,9.79636,2.07297,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,64,59,3,0.921875,2.13768,9.8083,1.9777,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,63,58,3,0.920635,2.03871,9.82025,1.87941,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,61,56,3,0.918033,2.17004,10.7249,2.22575,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,58,54,2,0.931034,1.94649,8.87515,1.9714,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,49,43,1,0.877551,1.8894,8.27763,2.02308,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,51,43,1,0.843137,1.8894,8.27763,2.02308,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,50,38,1,0.76,1.98311,8.6312,1.94254,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,38,28,3,0.736842,24.2137,10.8965,48.5474,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,38,28,3,0.736842,24.2137,10.8965,48.5474,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,42,29,3,0.690476,23.3794,10.6204,46.8137,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,38,34,2,0.894737,412.327,2808.66,524.18,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,32,30,1,0.9375,470.189,2848.15,609.792,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,30,25,1,0.833333,564.081,2897.51,736.649,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,28,21,1,0.75,670.699,2937,882.637,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,28,17,1,0.607143,827.391,2971.84,1108.19,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,26,15,1,0.576923,699.901,2851.05,811.847,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,25,13,1,0.52,602.728,2888.21,947.154,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,22,15,0,0.681818,361.548,1200.8,498.723,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,19,12,1,0.631579,333.945,1236.07,377.318,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,18,11,1,0.611111,364.302,1268.81,415.049,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,20,11,1,0.55,320.755,1268.81,337.183,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,20,10,1,0.5,343.862,1301.55,354.72,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,19,12,0,0.631579,490.595,1979.75,735.404,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,17,11,0,0.647059,390.082,1694.95,677.976,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,14,9,0,0.642857,272.408,1470.31,612.502,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,10,7,0,0.7,350.231,1714.86,816.664,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,9,6,0,0.666667,408.601,1837.13,979.996,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,7,4,0,0.571429,0.771321,2.5786,1.00576,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,7,3,0,0.428571,1.02223,2.72904,1.50715,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,8,3,0,0.375,1.02223,2.72904,1.50715,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,8,3,0,0.375,1.02223,2.72904,1.50715,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,9,5,0,0.555556,0.625497,2.43199,0.759551,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,9,7,0,0.777778,375.773,937.442,187.258,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,10,7,0,0.7,375.773,937.442,187.258,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,12,8,0,0.666667,328.804,936.416,269.595,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,16,10,0,0.625,360.473,960.473,426.188,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,18,18,0,1,691.626,2546.66,849.084,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,19,19,0,1,655.226,2513.98,830.065,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,19,19,0,1,655.226,2513.98,830.065,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,19,18,0,0.947368,691.626,2546.66,878.892,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,12,12,0,1,737.051,2742.72,1009.59,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,11,11,0,1,804.054,2775.4,1110.55,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,10,10,0,1,574.242,1974.24,544.575,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,13,12,0,0.923077,274.489,1393.36,253.537,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,13,12,0,0.923077,274.489,1393.36,253.537,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,11,8,0,0.727273,0.0226799,0.037267,0.011814,0,0,-1,0,0,-1
ugv_role_priority,1.77177e+09,10,11,7,0,0.636364,0.0221307,0.0344779,0.00933417,0,0,-1,0,0,-1
